year,age,births
2006,22,1971
2006,23,2163
2006,24,2397
2006,25,2436
2006,26,2694
2006,27,2769
2006,28,2976
2006,29,3210
2006,30,3231
2006,31,3687
2006,32,3711
2006,33,3693
2006,34,3546
2006,35,3084
2006,36,2451
2006,37,2109
2006,38,1563
2006,39,1194
2006,40,846
2006,41,537
2006,42,354
2006,43,204
2006,44,114
2006,45,57
2006,46,30
2007,14,45
2007,15,159
2007,16,495
2007,17,972
2007,18,1437
2007,19,1836
2007,20,1998
2007,21,2037
2007,22,2241
2007,23,2343
2007,24,2475
2007,25,2637
2007,26,2871
2007,27,3183
2007,28,3333
2007,29,3492
2007,30,3516
2007,31,3768
2007,32,3834
2007,33,3798
2007,34,3582
2007,35,3378
2007,36,2856
2007,37,2247
2007,38,1743
2007,39,1374
2007,40,978
2007,41,558
2007,42,378
2007,43,225
2007,44,126
2007,45,57
2007,46,27
2008,14,36
2008,15,162
2008,16,468
2008,17,1020
2008,18,1527
2008,19,2007
2008,20,2109
2008,21,2199
2008,22,2256
2008,23,2463
2008,24,2466
2008,25,2754
2008,26,2853
2008,27,3096
2008,28,3381
2008,29,3522
2008,30,3531
2008,31,3585
2008,32,3630
2008,33,3585
2008,34,3492
2008,35,3333
2008,36,2799
2008,37,2349
2008,38,1893
2008,39,1431
2008,40,897
2008,41,657
2008,42,360
2008,43,222
2008,44,123
2008,45,66
2008,46,27
2009,14,27
2009,15,117
2009,16,366
2009,17,903
2009,18,1377
2009,19,1881
2009,20,2103
2009,21,2181
2009,22,2322
2009,23,2331
2009,24,2565
2009,25,2703
2009,26,2847
2009,27,2979
2009,28,3246
2009,29,3522
2009,30,3567
2009,31,3579
2009,32,3561
2009,33,3336
2009,34,3267
2009,35,3117
2009,36,2706
2009,37,2403
2009,38,1755
2009,39,1332
2009,40,1014
2009,41,633
2009,42,402
2009,43,198
2009,44,111
2009,45,54
2009,46,30
2010,14,24
2010,15,117
2010,16,399
2010,17,825
2010,18,1353
2010,19,1836
2010,20,2157
2010,21,2178
2010,22,2394
2010,23,2487
2010,24,2586
2010,25,2736
2010,26,2964
2010,27,3243
2010,28,3387
2010,29,3552
2010,30,3672
2010,31,3726
2010,32,3738
2010,33,3417
2010,34,3159
2010,35,3018
2010,36,2661
2010,37,2298
2010,38,1860
2010,39,1482
2010,40,996
2010,41,732
2010,42,408
2010,43,237
2010,44,114
2010,45,75
2010,46,30
2011,14,18
2011,15,96
2011,16,342
2011,17,699
2011,18,1158
2011,19,1683
2011,20,2052
2011,21,2169
2011,22,2352
2011,23,2379
2011,24,2445
2011,25,2604
2011,26,2853
2011,27,3093
2011,28,3402
2011,29,3444
2011,30,3480
2011,31,3675
2011,32,3555
2011,33,3321
2011,34,3171
2011,35,2799
2011,36,2619
2011,37,2151
2011,38,1878
2011,39,1407
2011,40,1005
2011,41,624
2011,42,426
2011,43,231
2011,44,129
2011,45,69
2011,46,39
2012,14,15
2012,15,87
2012,16,303
2012,17,678
2012,18,1092
2012,19,1608
2012,20,1887
2012,21,2019
2012,22,2346
2012,23,2496
2012,24,2553
2012,25,2568
2012,26,2895
2012,27,3096
2012,28,3474
2012,29,3579
2012,30,3636
2012,31,3693
2012,32,3576
2012,33,3477
2012,34,3090
2012,35,2844
2012,36,2436
2012,37,2070
2012,38,1716
2012,39,1299
2012,40,1014
2012,41,732
2012,42,408
2012,43,243
2012,44,126
2012,45,60
2012,46,27
2013,14,12
2013,15,84
2013,16,270
2013,17,552
2013,18,972
2013,19,1404
2013,20,1704
2013,21,1959
2013,22,2196
2013,23,2358
2013,24,2481
2013,25,2571
2013,26,2835
2013,27,3039
2013,28,3279
2013,29,3534
2013,30,3537
2013,31,3591
2013,32,3402
2013,33,3267
2013,34,2961
2013,35,2700
2013,36,2445
2013,37,2016
2013,38,1626
2013,39,1344
2013,40,966
2013,41,648
2013,42,435
2013,43,258
2013,44,132
2013,45,90
2013,46,27
2014,14,24
2014,15,72
2014,16,234
2014,17,486
2014,18,840
2014,19,1266
2014,20,1515
2014,21,1725
2014,22,1968
2014,23,2298
2014,24,2409
2014,25,2577
2014,26,2862
2014,27,3009
2014,28,3318
2014,29,3444
2014,30,3513
2014,31,3702
2014,32,3648
2014,33,3267
2014,34,3069
2014,35,2628
2014,36,2232
2014,37,1902
2014,38,1533
2014,39,1242
2014,40,927
2014,41,615
2014,42,405
2014,43,270
2014,44,126
2014,45,54
2014,46,30
2015,14,21
2015,15,75
2015,16,213
2015,17,492
2015,18,804
2015,19,1257
2015,20,1557
2015,21,1869
2015,22,2088
2015,23,2295
2015,24,2646
2015,25,2850
2015,26,2982
2015,27,3324
2015,28,3504
2015,29,3687
2015,30,3873
2015,31,4005
2015,32,3888
2015,33,3600
2015,34,3225
2015,35,2847
2015,36,2490
2015,37,2004
2015,38,1680
2015,39,1206
2015,40,981
2015,41,618
2015,42,426
2015,43,231
2015,44,123
2015,45,81
2015,46,48
2016,14,12
2016,15,57
2016,16,186
2016,17,378
2016,18,726
2016,19,1119
2016,20,1371
2016,21,1629
2016,22,1902
2016,23,2232
2016,24,2496
2016,25,2679
2016,26,3129
2016,27,3357
2016,28,3489
2016,29,3708
2016,30,3831
2016,31,3915
2016,32,3864
2016,33,3645
2016,34,3276
2016,35,2913
2016,36,2361
2016,37,1998
2016,38,1497
2016,39,1239
2016,40,819
2016,41,630
2016,42,414
2016,43,273
2016,44,150
2016,45,63
2016,46,36
2017,14,15
2017,15,57
2017,16,180
2017,17,369
2017,18,657
2017,19,1038
2017,20,1380
2017,21,1602
